model_family,agent_type,variant,n,successes,success_rate,ci_lo,ci_hi,trend_z,trend_p,binary_z,binary_p
anthropic,text-only,low,65,25,38.5,27.6,50.6,6.635,0.0,9.829,0.0
anthropic,text-only,medium-low,65,65,100.0,94.4,100.0,6.635,0.0,9.829,0.0
anthropic,text-only,base,65,61,93.8,85.2,97.6,6.635,0.0,9.829,0.0
anthropic,text-only,high,65,58,89.2,79.4,94.7,6.635,0.0,9.829,0.0
anthropic,vision-only,low,65,3,4.6,1.6,12.7,3.555,0.00037839,4.359,1.304e-05
anthropic,vision-only,medium-low,65,18,27.7,18.3,39.6,3.555,0.00037839,4.359,1.304e-05
anthropic,vision-only,base,65,18,27.7,18.3,39.6,3.555,0.00037839,4.359,1.304e-05
anthropic,vision-only,high,65,21,32.3,22.2,44.4,3.555,0.00037839,4.359,1.304e-05
anthropic,cua,low,65,38,58.5,46.3,69.6,5.607,2e-08,7.658,0.0
anthropic,cua,medium-low,65,64,98.5,91.8,99.7,5.607,2e-08,7.658,0.0
anthropic,cua,base,65,61,93.8,85.2,97.6,5.607,2e-08,7.658,0.0
anthropic,cua,high,65,62,95.4,87.3,98.4,5.607,2e-08,7.658,0.0
meta,text-only,low,65,24,36.9,26.2,49.1,4.609,4.04e-06,4.628,3.69e-06
meta,text-only,medium-low,65,40,61.5,49.4,72.4,4.609,4.04e-06,4.628,3.69e-06
meta,text-only,base,65,46,70.8,58.8,80.4,4.609,4.04e-06,4.628,3.69e-06
meta,text-only,high,65,49,75.4,63.7,84.2,4.609,4.04e-06,4.628,3.69e-06
meta,vision-only,low,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,vision-only,medium-low,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,vision-only,base,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,vision-only,high,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,cua,low,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,cua,medium-low,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,cua,base,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
meta,cua,high,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
