operator,rate,n,ok,ci_lo,ci_hi,drop_pp,p_raw,OR,OR_ci,p_holm,significant,dataset
L1,0.6388888888888888,144,92,0.5577706610773407,0.71278943971626,27.98611111111111,3.547568068785775e-18,0.1564625850340136,"(0.10603395391002376, 0.23087454171801575)",5.67610891005724e-17,True,stage3
L9,0.7916666666666666,144,114,0.718187193141116,0.8499890185254458,12.708333333333332,6.968670569098067e-06,0.3360544217687075,"(0.2154832990664838, 0.5240896852774509)",0.000104530058536471,True,stage3
L5,0.8055555555555556,144,116,0.7333276777233315,0.8619045440225905,11.319444444444438,5.1416385099868597e-05,0.3663751214771623,"(0.2326960535284976, 0.5768500479573737)",0.0007198293913981604,True,stage3
L12,0.8402777777777778,144,121,0.7717246031630561,0.8911476437812661,7.847222222222216,0.0031480535022853215,0.4652469683525584,"(0.2866643801089517, 0.7550807026634393)",0.040924695529709176,True,stage3
ML1,0.8680555555555556,144,125,0.8031071380429962,0.9138771290600463,5.0694444444444375,0.0431017485248372,0.5818116720372359,"(0.3464823743648761, 0.9769755888427651)",0.5172209822980464,False,stage3
L11,0.8958333333333334,144,129,0.8352443317565577,0.935851955505205,2.2916666666666585,0.34227495105356864,0.7605442176870748,"(0.43135235414334383, 1.3409629077045118)",1.0,False,stage3
L4,0.9027777777777778,144,130,0.8434233449655235,0.9412009473359191,1.5972222222222165,0.5244236895605974,0.8211856171039844,"(0.45848690134177444, 1.470807161044209)",1.0,False,stage3
L13,0.9097222222222222,144,131,0.8516702919195349,0.9464820054215877,0.9027777777777746,0.636055354598744,0.891156462585034,"(0.488849950125404, 1.624547247275665)",1.0,False,stage3
L3,0.9097222222222222,144,131,0.8516702919195349,0.9464820054215877,0.9027777777777746,0.636055354598744,0.891156462585034,"(0.488849950125404, 1.624547247275665)",1.0,False,stage3
L6,0.9166666666666666,144,132,0.8599917639995038,0.9516885383812987,0.2083333333333326,0.8736217519875971,0.9727891156462585,"(0.5230702557563489, 1.8091616816396339)",1.0,False,stage3
H1,0.9236111111111112,144,133,0.8683956370822358,0.956812670338247,0.0,,,"(None, None)",,,stage3
H2,0.8819444444444444,144,127,0.8190685791541631,0.9249716980282393,0.0,,,"(None, None)",,,stage3
H3,0.8958333333333334,144,129,0.8352443317565577,0.935851955505205,0.0,,,"(None, None)",,,stage3
H4,0.9097222222222222,144,131,0.8516702919195349,0.9464820054215877,0.0,,,"(None, None)",,,stage3
H5a,0.9375,144,135,0.8854909659335584,0.9667733515662844,0.0,,,"(None, None)",,,stage3
H5b,0.9166666666666666,144,132,0.8599917639995038,0.9516885383812987,0.0,,,"(None, None)",,,stage3
H5c,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,0.0,,,"(None, None)",,,stage3
H6,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,0.0,,,"(None, None)",,,stage3
H7,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,0.0,,,"(None, None)",,,stage3
H8,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,0.0,,,"(None, None)",,,stage3
L2,0.9236111111111112,144,133,0.8683956370822358,0.956812670338247,-0.4861111111111205,1.0,1.0692640692640694,"(0.5619536663546846, 2.03455501453661)",1.0,False,stage3
L10,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,-1.1805555555555625,0.7478556954202986,1.1850340136054422,"(0.6065504785102362, 2.315232883586167)",1.0,False,stage3
L8,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,-1.1805555555555625,0.7478556954202986,1.1850340136054422,"(0.6065504785102362, 2.315232883586167)",1.0,False,stage3
ML3,0.9305555555555556,144,134,0.8768914537023965,0.9618448587577663,-1.1805555555555625,0.7478556954202986,1.1850340136054422,"(0.6065504785102362, 2.315232883586167)",1.0,False,stage3
L7,0.9444444444444444,144,136,0.8942089304282713,0.9715833921112514,-2.5694444444444464,0.332094977113484,1.5034013605442176,"(0.718963091709699, 3.1437158276253054)",1.0,False,stage3
ML2,0.9444444444444444,144,136,0.8942089304282713,0.9715833921112514,-2.5694444444444464,0.332094977113484,1.5034013605442176,"(0.718963091709699, 3.1437158276253054)",1.0,False,stage3
