variant,successes,total,rate,ci_lower,ci_upper,agent_type,model
low,90,260,0.34615384615384615,0.29094426109040644,0.4058435085410694,all,all
medium-low,187,260,0.7192307692307692,0.661720620027196,0.7703568082479509,all,all
base,186,260,0.7153846153846154,0.6577101358207957,0.766786986695138,all,all
high,190,260,0.7307692307692307,0.6737812433278099,0.7810371022249762,all,all
low,38,65,0.5846153846153846,0.4633876602091337,0.696399445261977,cua,all
medium-low,64,65,0.9846153846153847,0.9178652058620286,0.9972791254725134,cua,all
base,61,65,0.9384615384615385,0.852176391786862,0.9758113365634377,cua,all
high,62,65,0.9538461538461539,0.8728594829309505,0.9841804464140967,cua,all
low,49,130,0.3769230769230769,0.2982769881529427,0.46263441756844736,text-only,all
medium-low,105,130,0.8076923076923077,0.7315091400018356,0.8662123456946893,text-only,all
base,107,130,0.823076923076923,0.7484914604565486,0.8791160995248025,text-only,all
high,107,130,0.823076923076923,0.7484914604565486,0.8791160995248025,text-only,all
low,3,65,0.046153846153846156,0.01581955358590327,0.12714051706904955,vision-only,all
medium-low,18,65,0.27692307692307694,0.18293439815390553,0.3958086874222576,vision-only,all
base,18,65,0.27692307692307694,0.18293439815390553,0.3958086874222576,vision-only,all
high,21,65,0.3230769230769231,0.22203729362311722,0.4438623949372881,vision-only,all
low,25,65,0.38461538461538464,0.27594829385374525,0.5061601986856494,text-only,claude-sonnet
medium-low,65,65,1.0,0.9441965323292892,0.9999999999999999,text-only,claude-sonnet
base,61,65,0.9384615384615385,0.852176391786862,0.9758113365634377,text-only,claude-sonnet
high,58,65,0.8923076923076924,0.7939846696853139,0.9468464556807439,text-only,claude-sonnet
low,24,65,0.36923076923076925,0.26229222189067253,0.49076406965397484,text-only,llama4-maverick
medium-low,40,65,0.6153846153846154,0.49383980131435057,0.7240517061462548,text-only,llama4-maverick
base,46,65,0.7076923076923077,0.5880373289917318,0.8041673844373576,text-only,llama4-maverick
high,49,65,0.7538461538461538,0.6369398600835174,0.842421456329814,text-only,llama4-maverick
