operator,family,description,dom_magnitude,ssim,dom_active,behav_active,claude_text_drop_pp,llama4_text_drop_pp,cua_drop_pp,leverage_drop_per_dom_mag,quadrant,alignment
L1,Low,Landmark → div,22.4616,1.0,True,True,40.0,32.56,9.74,1.7808,aligned_active,ALIGNED (both active)
L10,Low,Remove lang,0.0,1.0,False,True,6.67,4.36,-3.08,,structural_criticality,MISALIGNED: DOM minimal -> behavior active (structural criticality)
L11,Low,Link → span,567.0769,0.9761,True,False,1.54,14.62,2.05,0.0027,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
L12,Low,Duplicate IDs,1.0,1.0,False,True,14.36,6.92,-0.51,14.36,structural_criticality,MISALIGNED: DOM minimal -> behavior active (structural criticality)
L13,Low,onfocus blur,0.0,1.0,False,False,4.1,-0.77,2.05,,aligned_null,ALIGNED (both null)
L2,Low,Remove ARIA + role,52.3077,1.0,True,False,4.1,4.36,4.62,0.0784,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
L3,Low,Remove labels,23.2308,0.9992,True,False,-1.03,-0.77,-10.77,0.0443,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
L4,Low,Remove kbd handlers,0.0,1.0,False,False,1.54,6.92,9.74,,aligned_null,ALIGNED (both null)
L5,Low,Shadow DOM wrap,389.2307,0.8026,True,True,22.05,22.31,9.74,0.0567,aligned_active,ALIGNED (both active)
L6,Low,Heading → div,39.5384,0.908,True,False,-6.15,4.36,-18.46,0.1555,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
L7,Low,Remove alt/aria-label,12.3077,1.0,True,False,1.54,1.79,2.05,0.1251,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
L8,Low,Remove tabindex,0.923,1.0,False,False,1.54,-3.33,2.05,1.6685,aligned_null,ALIGNED (both null)
L9,Low,thead → div,67.4615,1.0,True,False,4.1,4.36,2.05,0.0608,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
ML1,Midlow,Empty btn → div,1.2308,1.0,False,False,4.1,4.36,-3.08,3.3312,aligned_null,ALIGNED (both null)
ML2,Midlow,Clone-replace,0.0,1.0,False,False,1.54,4.36,2.05,,aligned_null,ALIGNED (both null)
ML3,Midlow,Remove label + aria,10.6155,0.9992,True,False,1.54,6.92,-10.77,0.1451,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
H1,High,Auto aria-label,3.5385,1.0,False,False,-1.03,1.79,12.31,0.2911,aligned_null,ALIGNED (both null)
H2,High,Skip-nav,7.0,0.9993,True,False,1.54,-8.46,-5.64,0.22,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
H3,High,Associate labels,12.6924,1.0,True,False,1.54,1.79,2.05,0.1213,agent_adaptation,MISALIGNED: DOM active -> behavior null (agent adaptation)
H4,High,Add landmark role,0.6154,1.0,False,False,4.1,-3.33,4.62,6.6623,aligned_null,ALIGNED (both null)
H5a,High,Auto alt,0.0,1.0,False,False,-3.59,-0.77,-3.08,,aligned_null,ALIGNED (both null)
H5b,High,Add lang=en,0.0,1.0,False,False,1.54,-0.77,2.05,,aligned_null,ALIGNED (both null)
H5c,High,Auto aria-label links,3.5385,1.0,False,False,-1.03,6.92,-0.51,0.2911,aligned_null,ALIGNED (both null)
H6,High,aria-required,0.0,1.0,False,False,-3.59,1.79,-3.08,,aligned_null,ALIGNED (both null)
H7,High,aria-current,0.0,1.0,False,False,1.54,6.92,-10.77,,aligned_null,ALIGNED (both null)
H8,High,Table scope,4.3076,1.0,False,False,-1.03,-5.9,2.05,0.2391,aligned_null,ALIGNED (both null)
